"Sample Plan (Id) / Plan d'échantillonage (Id)","Sampling Plan - Description / Plan d'échantillonage - Description","Date Sampled (YYYY/MM/DD) / Date d'échantillonage (AAAA/MM/JJ)","System ID / ID Système","Product Description / Description du Produit","Organic? / Biologique?","Country of Origin / Pays d'Origine","Function / Fonction","Analysis Type - Description / Type d'Analyse - Description","Method Number / No de Méthode","Value Text / Valeur textuelle","Unit / Unité","Analysis Assessment / Évaluation de l'Analyse"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-09-30","B2014CMAX00639","Mini","No / Non","UNITED STATES / ÉTATS-UNIS","IMPORT / Importation","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-09-30","B2014CMAX00639","Mini","No / Non","UNITED STATES / ÉTATS-UNIS","IMPORT / Importation","Salmonella","MFLP-38","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-09-30","B2014CMAX00639","Mini","No / Non","UNITED STATES / ÉTATS-UNIS","IMPORT / Importation","E. coli O 157","MFLP-30","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-09-30","B2014CMAX00639","Mini","No / Non","UNITED STATES / ÉTATS-UNIS","IMPORT / Importation","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-14","B2014CMAX00640","Field / De Champs","No / Non","UNITED STATES / ÉTATS-UNIS","IMPORT / Importation","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-14","B2014CMAX00640","Field / De Champs","No / Non","UNITED STATES / ÉTATS-UNIS","IMPORT / Importation","Salmonella","MFLP-38","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-14","B2014CMAX00640","Field / De Champs","No / Non","UNITED STATES / ÉTATS-UNIS","IMPORT / Importation","E. coli O 157","MFLP-30","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-14","B2014CMAX00640","Field / De Champs","No / Non","UNITED STATES / ÉTATS-UNIS","IMPORT / Importation","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2015-03-18","B2014CMAX00641","English / Anglais","No / Non","MEXICO / Mexique","IMPORT / Importation","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2015-03-18","B2014CMAX00641","English / Anglais","No / Non","MEXICO / Mexique","IMPORT / Importation","Salmonella","MFLP-38","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2015-03-18","B2014CMAX00641","English / Anglais","No / Non","MEXICO / Mexique","IMPORT / Importation","E. coli O 157","MFLP-30","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2015-03-18","B2014CMAX00641","English / Anglais","No / Non","MEXICO / Mexique","IMPORT / Importation","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-29","B2014CMAX00709","English / Anglais","No / Non","CANADA","DOMESTIC / Nationale","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-29","B2014CMAX00709","English / Anglais","No / Non","CANADA","DOMESTIC / Nationale","Salmonella","MFLP-38","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-29","B2014CMAX00709","English / Anglais","No / Non","CANADA","DOMESTIC / Nationale","E. coli O 157","MFLP-30","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-29","B2014CMAX00709","English / Anglais","No / Non","CANADA","DOMESTIC / Nationale","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-29","B2014CMAX00710","English / Anglais","Yes / Oui","CANADA","DOMESTIC / Nationale","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-29","B2014CMAX00710","English / Anglais","Yes / Oui","CANADA","DOMESTIC / Nationale","Salmonella","MFLP-38","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-29","B2014CMAX00710","English / Anglais","Yes / Oui","CANADA","DOMESTIC / Nationale","E. coli O 157","MFLP-30","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-29","B2014CMAX00710","English / Anglais","Yes / Oui","CANADA","DOMESTIC / Nationale","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-10-06","B2014CMAX00711","Mini","No / Non","CANADA","DOMESTIC / Nationale","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-10-06","B2014CMAX00711","Mini","No / Non","CANADA","DOMESTIC / Nationale","Salmonella","MFLP-38","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-10-06","B2014CMAX00711","Mini","No / Non","CANADA","DOMESTIC / Nationale","E. coli O 157","MFLP-30","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-10-06","B2014CMAX00711","Mini","No / Non","CANADA","DOMESTIC / Nationale","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-10-06","B2014CMAX00712","Field / De Champs","No / Non","CANADA","DOMESTIC / Nationale","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-10-06","B2014CMAX00712","Field / De Champs","No / Non","CANADA","DOMESTIC / Nationale","Salmonella","MFLP-38","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-10-06","B2014CMAX00712","Field / De Champs","No / Non","CANADA","DOMESTIC / Nationale","E. coli O 157","MFLP-30","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-10-06","B2014CMAX00712","Field / De Champs","No / Non","CANADA","DOMESTIC / Nationale","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-29","B2014CMAX00713","Mini","No / Non","CANADA","DOMESTIC / Nationale","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-29","B2014CMAX00713","Mini","No / Non","CANADA","DOMESTIC / Nationale","Salmonella","MFLP-38","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-29","B2014CMAX00713","Mini","No / Non","CANADA","DOMESTIC / Nationale","E. coli O 157","MFLP-30","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-29","B2014CMAX00713","Mini","No / Non","CANADA","DOMESTIC / Nationale","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-30","B2014CMAX00714","English / Anglais","No / Non","CANADA","DOMESTIC / Nationale","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-30","B2014CMAX00714","English / Anglais","No / Non","CANADA","DOMESTIC / Nationale","Salmonella","MFLP-38","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-30","B2014CMAX00714","English / Anglais","No / Non","CANADA","DOMESTIC / Nationale","E. coli O 157","MFLP-30","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-09-30","B2014CMAX00714","English / Anglais","No / Non","CANADA","DOMESTIC / Nationale","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-10-06","B2014CMAX00715","English / Anglais","No / Non","CANADA","DOMESTIC / Nationale","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-10-06","B2014CMAX00715","English / Anglais","No / Non","CANADA","DOMESTIC / Nationale","Salmonella","MFLP-38","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-10-06","B2014CMAX00715","English / Anglais","No / Non","CANADA","DOMESTIC / Nationale","E. coli O 157","MFLP-30","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-10-06","B2014CMAX00715","English / Anglais","No / Non","CANADA","DOMESTIC / Nationale","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-10-06","B2014CMAX00716","English / Anglais","No / Non","CANADA","DOMESTIC / Nationale","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-10-06","B2014CMAX00716","English / Anglais","No / Non","CANADA","DOMESTIC / Nationale","Salmonella","MFLP-38","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-10-06","B2014CMAX00716","English / Anglais","No / Non","CANADA","DOMESTIC / Nationale","E. coli O 157","MFLP-30","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-10-06","B2014CMAX00716","English / Anglais","No / Non","CANADA","DOMESTIC / Nationale","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-20","B2014CMAX01481","Field / De Champs","No / Non","MEXICO / Mexique","IMPORT / Importation","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-20","B2014CMAX01481","Field / De Champs","No / Non","MEXICO / Mexique","IMPORT / Importation","Salmonella","MFLP-38","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-20","B2014CMAX01481","Field / De Champs","No / Non","MEXICO / Mexique","IMPORT / Importation","E. coli O 157","MFLP-30","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-10-20","B2014CMAX01481","Field / De Champs","No / Non","MEXICO / Mexique","IMPORT / Importation","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-11-20","B2014CMAX01482","English / Anglais","No / Non","MEXICO / Mexique","IMPORT / Importation","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-11-20","B2014CMAX01482","English / Anglais","No / Non","MEXICO / Mexique","IMPORT / Importation","Salmonella","MFLP-29","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-11-20","B2014CMAX01482","English / Anglais","No / Non","MEXICO / Mexique","IMPORT / Importation","E. coli O 157","MFLP-80","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-11-20","B2014CMAX01482","English / Anglais","No / Non","MEXICO / Mexique","IMPORT / Importation","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-11-20","B2014CMAX01483","Slicing / Long","No / Non","UNITED STATES / ÉTATS-UNIS","IMPORT / Importation","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-11-20","B2014CMAX01483","Slicing / Long","No / Non","UNITED STATES / ÉTATS-UNIS","IMPORT / Importation","Salmonella","MFLP-29","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-11-20","B2014CMAX01483","Slicing / Long","No / Non","UNITED STATES / ÉTATS-UNIS","IMPORT / Importation","E. coli O 157","MFLP-80","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-11-20","B2014CMAX01483","Slicing / Long","No / Non","UNITED STATES / ÉTATS-UNIS","IMPORT / Importation","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-11-27","B2014CMAX01484","English / Anglais","No / Non","MEXICO / Mexique","IMPORT / Importation","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-11-27","B2014CMAX01484","English / Anglais","No / Non","MEXICO / Mexique","IMPORT / Importation","Salmonella","MFLP-38","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-11-27","B2014CMAX01484","English / Anglais","No / Non","MEXICO / Mexique","IMPORT / Importation","E. coli O 157","MFLP-30","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-11-27","B2014CMAX01484","English / Anglais","No / Non","MEXICO / Mexique","IMPORT / Importation","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-11-27","B2014CMAX01485","Field / De Champs","No / Non","UNITED STATES / ÉTATS-UNIS","IMPORT / Importation","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-11-27","B2014CMAX01485","Field / De Champs","No / Non","UNITED STATES / ÉTATS-UNIS","IMPORT / Importation","Salmonella","MFLP-38","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-11-27","B2014CMAX01485","Field / De Champs","No / Non","UNITED STATES / ÉTATS-UNIS","IMPORT / Importation","E. coli O 157","MFLP-30","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-11-27","B2014CMAX01485","Field / De Champs","No / Non","UNITED STATES / ÉTATS-UNIS","IMPORT / Importation","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-11-27","B2014CMAX01486","English / Anglais","No / Non","MEXICO / Mexique","IMPORT / Importation","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-11-27","B2014CMAX01486","English / Anglais","No / Non","MEXICO / Mexique","IMPORT / Importation","Salmonella","MFLP-38","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-11-27","B2014CMAX01486","English / Anglais","No / Non","MEXICO / Mexique","IMPORT / Importation","E. coli O 157","MFLP-30","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2014-11-27","B2014CMAX01486","English / Anglais","No / Non","MEXICO / Mexique","IMPORT / Importation","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2015-03-18","B2014CMAX01487","Field / De Champs","No / Non","MEXICO / Mexique","IMPORT / Importation","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2015-03-18","B2014CMAX01487","Field / De Champs","No / Non","MEXICO / Mexique","IMPORT / Importation","Salmonella","MFLP-38","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2015-03-18","B2014CMAX01487","Field / De Champs","No / Non","MEXICO / Mexique","IMPORT / Importation","E. coli O 157","MFLP-30","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2015-03-18","B2014CMAX01487","Field / De Champs","No / Non","MEXICO / Mexique","IMPORT / Importation","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2015-03-23","B2014CMAX01488","Mini","No / Non","UNITED STATES / ÉTATS-UNIS","IMPORT / Importation","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2015-03-23","B2014CMAX01488","Mini","No / Non","UNITED STATES / ÉTATS-UNIS","IMPORT / Importation","Salmonella","MFLP-38","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2015-03-23","B2014CMAX01488","Mini","No / Non","UNITED STATES / ÉTATS-UNIS","IMPORT / Importation","E. coli O 157","MFLP-30","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3005","Imported Cucumbers / Concombres Importés","2015-03-23","B2014CMAX01488","Mini","No / Non","UNITED STATES / ÉTATS-UNIS","IMPORT / Importation","Escherichia coli ","MFHPB-27","<100","CFU/g // UFC/g","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-10-16","B2014CMAX01556","Mini","No / Non","CANADA","DOMESTIC / Nationale","Shigella","MFLP-25","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
"2014_SB3006","Domestic Cucumbers / Concombres Nationales","2014-10-16","B2014CMAX01556","Mini","No / Non","CANADA","DOMESTIC / Nationale","Salmonella","MFLP-38","Not Detected / 25 grams///Non détecté / 25 grammes","N/A // SO","Satisfactory / Satisfaisante"
